id,retrieval_type,top_k,question,gold_source,retrieved_sources,hit,reciprocal_rank,latency_ms
39,similarity,3,MMR 中 lambda_mult 用来控制什么？,20_mmr_lambda.txt,20_mmr_lambda.txt | 05_mmr.txt | 19_mmr_fetchk.txt,1,1.0,2083.44
40,similarity,3,本项目默认的 lambda_mult 是多少？,20_mmr_lambda.txt,20_mmr_lambda.txt | 05_mmr.txt | 16_vector_metadata_filter.txt,1,1.0,2090.91
41,similarity,3,本项目的 chunk_overlap 设置为多少？,21_chunk_overlap.txt,21_chunk_overlap.txt | 22_chunk_size.txt | 06_chunking.txt,1,1.0,2151.71
42,similarity,3,chunk_overlap 设置过大会带来什么问题？,21_chunk_overlap.txt,21_chunk_overlap.txt | 22_chunk_size.txt | 06_chunking.txt,1,1.0,2172.28
43,similarity,3,本项目默认的 chunk_size 是多少？,22_chunk_size.txt,22_chunk_size.txt | 21_chunk_overlap.txt | 06_chunking.txt,1,1.0,2065.5
44,similarity,3,为什么比较检索算法时应该保持 chunk_size 不变？,22_chunk_size.txt,22_chunk_size.txt | 06_chunking.txt | 21_chunk_overlap.txt,1,1.0,2064.24
45,similarity,3,使用本地 Ollama 对知识库数据隐私有什么好处？,23_ollama_privacy.txt,07_ollama.txt | 23_ollama_privacy.txt | 26_streamlit_ui.txt,1,0.5,2082.21
46,similarity,3,当前项目中哪些模型通过 Ollama 在本地运行？,23_ollama_privacy.txt,07_ollama.txt | 23_ollama_privacy.txt | 26_streamlit_ui.txt,1,0.5,2105.79
47,similarity,3,Qwen2.5 3B 在这个 RAG 系统中承担什么职责？,24_qwen_role.txt,24_qwen_role.txt | rag_test.txt | 11_rag_hallucination.txt,1,1.0,2091.45
48,similarity,3,Hit@K 和 MRR 主要评测生成模型还是检索器？,24_qwen_role.txt,29_hit_at_k.txt | 10_evaluation.txt | 30_mrr.txt,0,0.0,2079.66
49,similarity,3,系统的问答 API 路径是什么？,25_fastapi_endpoint.txt,25_fastapi_endpoint.txt | 08_fastapi_streamlit.txt | 26_streamlit_ui.txt,1,1.0,2146.7
50,similarity,3,FastAPI 的 Swagger 页面在开发中可以用来做什么？,25_fastapi_endpoint.txt,25_fastapi_endpoint.txt | 08_fastapi_streamlit.txt | 26_streamlit_ui.txt,1,1.0,2072.59
1,similarity,4,RAG 的主要作用是什么？,01_rag_basics.txt,11_rag_hallucination.txt | 12_rag_metadata.txt | 01_rag_basics.txt | rag_test.txt,1,0.3333,2081.48
2,similarity,4,为什么更新 RAG 知识库通常不需要重新训练大语言模型？,01_rag_basics.txt,11_rag_hallucination.txt | 01_rag_basics.txt | rag_test.txt | 12_rag_metadata.txt,1,0.5,2086.09
3,similarity,4,Embedding 在 RAG 系统中主要负责什么？,02_embeddings.txt,01_rag_basics.txt | 11_rag_hallucination.txt | rag_test.txt | 02_embeddings.txt,1,0.25,2135.63
4,similarity,4,当前项目使用的本地文本向量模型是什么？,02_embeddings.txt,16_vector_metadata_filter.txt | 23_ollama_privacy.txt | 17_topk_tradeoff.txt | 14_semantic_vs_keyword.txt,0,0.0,2183.7
5,similarity,4,本项目使用哪个数据库存储文本向量？,03_chromadb.txt,16_vector_metadata_filter.txt | 12_rag_metadata.txt | 17_topk_tradeoff.txt | 04_similarity.txt,0,0.0,2093.51
6,similarity,4,ChromaDB 除了向量以外还可以保存哪些信息？,03_chromadb.txt,03_chromadb.txt | 15_chroma_persistence.txt | 24_qwen_role.txt | rag_test.txt,1,1.0,2106.53
7,similarity,4,Similarity Search 中的 Top-K 表示什么？,04_similarity.txt,04_similarity.txt | 18_similarity_redundancy.txt | 17_topk_tradeoff.txt | 20_mmr_lambda.txt,1,1.0,2044.16
8,similarity,4,普通相似度检索可能存在哪种结果冗余问题？,04_similarity.txt,18_similarity_redundancy.txt | 14_semantic_vs_keyword.txt | 26_streamlit_ui.txt | 17_topk_tradeoff.txt,0,0.0,2062.17
9,similarity,4,MMR 检索相比普通相似度检索增加了什么考虑？,05_mmr.txt,19_mmr_fetchk.txt | 18_similarity_redundancy.txt | 20_mmr_lambda.txt | 05_mmr.txt,1,0.25,2084.35
10,similarity,4,MMR 为什么通常需要先获取 fetch_k 个候选文本？,05_mmr.txt,19_mmr_fetchk.txt | 05_mmr.txt | 20_mmr_lambda.txt | 10_evaluation.txt,1,0.5,2177.51
11,similarity,4,本项目使用什么工具切分长文档？,06_chunking.txt,16_vector_metadata_filter.txt | 17_topk_tradeoff.txt | 12_rag_metadata.txt | 14_semantic_vs_keyword.txt,0,0.0,2066.36
12,similarity,4,文本切分时保留 overlap 有什么作用？,06_chunking.txt,21_chunk_overlap.txt | 06_chunking.txt | 22_chunk_size.txt | 14_semantic_vs_keyword.txt,1,0.5,2081.32
13,similarity,4,本项目使用 Ollama 的主要目的是什么？,07_ollama.txt,07_ollama.txt | 23_ollama_privacy.txt | rag_test.txt | 26_streamlit_ui.txt,1,1.0,2101.71
14,similarity,4,Ollama 默认的本地服务地址是什么？,07_ollama.txt,07_ollama.txt | 23_ollama_privacy.txt | rag_test.txt | 26_streamlit_ui.txt,1,1.0,2090.7
15,similarity,4,系统的后端接口框架和前端框架分别是什么？,08_fastapi_streamlit.txt,26_streamlit_ui.txt | 08_fastapi_streamlit.txt | 17_topk_tradeoff.txt | 14_semantic_vs_keyword.txt,1,0.5,2186.86
16,similarity,4,改进后的 sources 会返回哪些来源信息？,08_fastapi_streamlit.txt,26_streamlit_ui.txt | 08_fastapi_streamlit.txt | 18_similarity_redundancy.txt | 11_rag_hallucination.txt,1,0.5,2070.4
17,similarity,4,系统如何判断一个文件是否已经入库且没有发生变化？,09_incremental_ingestion.txt,14_semantic_vs_keyword.txt | 11_rag_hallucination.txt | 12_rag_metadata.txt | 16_vector_metadata_filter.txt,0,0.0,2093.82
18,similarity,4,文件内容发生变化后增量入库会执行什么流程？,09_incremental_ingestion.txt,26_streamlit_ui.txt | 14_semantic_vs_keyword.txt | 08_fastapi_streamlit.txt | 16_vector_metadata_filter.txt,0,0.0,2097.39
19,similarity,4,Hit@K 主要评价检索系统的什么能力？,10_evaluation.txt,29_hit_at_k.txt | 17_topk_tradeoff.txt | 10_evaluation.txt | 24_qwen_role.txt,1,0.3333,2110.09
20,similarity,4,MRR 和 Hit@K 的关注重点有什么区别？,10_evaluation.txt,30_mrr.txt | 10_evaluation.txt | 29_hit_at_k.txt | 17_topk_tradeoff.txt,1,0.5,2229.96
21,similarity,4,RAG 为什么能够降低大语言模型产生幻觉的风险？,11_rag_hallucination.txt,11_rag_hallucination.txt | 01_rag_basics.txt | 12_rag_metadata.txt | rag_test.txt,1,1.0,2094.91
22,similarity,4,如果检索阶段返回了错误文档，生成结果可能出现什么问题？,11_rag_hallucination.txt,14_semantic_vs_keyword.txt | 11_rag_hallucination.txt | 17_topk_tradeoff.txt | 16_vector_metadata_filter.txt,1,0.5,2097.65
23,similarity,4,向量数据库中的 metadata 可以用于哪些功能？,12_rag_metadata.txt,16_vector_metadata_filter.txt | 12_rag_metadata.txt | 03_chromadb.txt | 01_rag_basics.txt,1,0.5,2106.99
24,similarity,4,PDF 文档的页码信息通常存放在哪里？,12_rag_metadata.txt,12_rag_metadata.txt | 26_streamlit_ui.txt | 11_rag_hallucination.txt | 08_fastapi_streamlit.txt,1,1.0,2180.26
25,similarity,4,当前 nomic-embed-text 输出的向量维度是多少？,13_embedding_dimension.txt,13_embedding_dimension.txt | 23_ollama_privacy.txt | 02_embeddings.txt | 07_ollama.txt,1,1.0,2192.35
26,similarity,4,为什么更换 Embedding 模型后通常需要重新构建向量库？,13_embedding_dimension.txt,13_embedding_dimension.txt | 02_embeddings.txt | 07_ollama.txt | 14_semantic_vs_keyword.txt,1,1.0,2090.64
27,similarity,4,语义检索相比关键词检索有什么优势？,14_semantic_vs_keyword.txt,18_similarity_redundancy.txt | 14_semantic_vs_keyword.txt | 16_vector_metadata_filter.txt | 26_streamlit_ui.txt,1,0.5,2091.74
28,similarity,4,表达方式不同但意思相近的问题为什么仍可能被检索出来？,14_semantic_vs_keyword.txt,17_topk_tradeoff.txt | 14_semantic_vs_keyword.txt | 09_incremental_ingestion.txt | 13_embedding_dimension.txt,1,0.5,2062.54
29,similarity,4,ChromaDB 持久化存储有什么作用？,15_chroma_persistence.txt,03_chromadb.txt | 15_chroma_persistence.txt | 24_qwen_role.txt | rag_test.txt,1,0.5,2068.36
30,similarity,4,为什么 chroma_db 目录不适合提交到 GitHub？,15_chroma_persistence.txt,15_chroma_persistence.txt | 03_chromadb.txt | 28_manifest.txt | 09_incremental_ingestion.txt,1,1.0,2075.09
31,similarity,4,向量数据库的 metadata filter 可以实现什么功能？,16_vector_metadata_filter.txt,16_vector_metadata_filter.txt | 12_rag_metadata.txt | 03_chromadb.txt | 18_similarity_redundancy.txt,1,1.0,2090.35
32,similarity,4,增量更新时系统如何定位需要删除的旧版本向量？,16_vector_metadata_filter.txt,16_vector_metadata_filter.txt | 09_incremental_ingestion.txt | 12_rag_metadata.txt | 17_topk_tradeoff.txt,1,1.0,2101.2
33,similarity,4,Top-K 设置得过小可能导致什么问题？,17_topk_tradeoff.txt,17_topk_tradeoff.txt | 04_similarity.txt | 19_mmr_fetchk.txt | 29_hit_at_k.txt,1,1.0,2055.23
34,similarity,4,为什么不存在对所有数据集都最优的固定 Top-K？,17_topk_tradeoff.txt,17_topk_tradeoff.txt | 04_similarity.txt | 19_mmr_fetchk.txt | 29_hit_at_k.txt,1,1.0,2063.6
35,similarity,4,Similarity Search 为什么可能返回多个内容高度重复的 chunk？,18_similarity_redundancy.txt,18_similarity_redundancy.txt | 04_similarity.txt | 21_chunk_overlap.txt | 20_mmr_lambda.txt,1,1.0,2084.59
36,similarity,4,MMR 能缓解普通相似度检索中的什么问题？,18_similarity_redundancy.txt,19_mmr_fetchk.txt | 20_mmr_lambda.txt | 05_mmr.txt | 18_similarity_redundancy.txt,1,0.25,2083.18
37,similarity,4,MMR 中 fetch_k 和最终 k 的关系通常是什么？,19_mmr_fetchk.txt,19_mmr_fetchk.txt | 05_mmr.txt | 29_hit_at_k.txt | 10_evaluation.txt,1,1.0,2095.5
38,similarity,4,本项目的默认 mmr_fetch_k 设置为多少？,19_mmr_fetchk.txt,19_mmr_fetchk.txt | 05_mmr.txt | 20_mmr_lambda.txt | 17_topk_tradeoff.txt,1,1.0,2064.48
39,similarity,4,MMR 中 lambda_mult 用来控制什么？,20_mmr_lambda.txt,20_mmr_lambda.txt | 05_mmr.txt | 19_mmr_fetchk.txt | 18_similarity_redundancy.txt,1,1.0,2070.79
40,similarity,4,本项目默认的 lambda_mult 是多少？,20_mmr_lambda.txt,20_mmr_lambda.txt | 05_mmr.txt | 16_vector_metadata_filter.txt | 17_topk_tradeoff.txt,1,1.0,2073.53
41,similarity,4,本项目的 chunk_overlap 设置为多少？,21_chunk_overlap.txt,21_chunk_overlap.txt | 22_chunk_size.txt | 06_chunking.txt | 16_vector_metadata_filter.txt,1,1.0,2067.01
42,similarity,4,chunk_overlap 设置过大会带来什么问题？,21_chunk_overlap.txt,21_chunk_overlap.txt | 22_chunk_size.txt | 06_chunking.txt | 18_similarity_redundancy.txt,1,1.0,2057.0
43,similarity,4,本项目默认的 chunk_size 是多少？,22_chunk_size.txt,22_chunk_size.txt | 21_chunk_overlap.txt | 06_chunking.txt | 16_vector_metadata_filter.txt,1,1.0,2081.84
44,similarity,4,为什么比较检索算法时应该保持 chunk_size 不变？,22_chunk_size.txt,22_chunk_size.txt | 06_chunking.txt | 21_chunk_overlap.txt | 16_vector_metadata_filter.txt,1,1.0,2200.06
45,similarity,4,使用本地 Ollama 对知识库数据隐私有什么好处？,23_ollama_privacy.txt,07_ollama.txt | 23_ollama_privacy.txt | 26_streamlit_ui.txt | rag_test.txt,1,0.5,2083.46
46,similarity,4,当前项目中哪些模型通过 Ollama 在本地运行？,23_ollama_privacy.txt,07_ollama.txt | 23_ollama_privacy.txt | 26_streamlit_ui.txt | 09_incremental_ingestion.txt,1,0.5,2059.36
47,similarity,4,Qwen2.5 3B 在这个 RAG 系统中承担什么职责？,24_qwen_role.txt,24_qwen_role.txt | rag_test.txt | 11_rag_hallucination.txt | 01_rag_basics.txt,1,1.0,2068.66
48,similarity,4,Hit@K 和 MRR 主要评测生成模型还是检索器？,24_qwen_role.txt,29_hit_at_k.txt | 10_evaluation.txt | 30_mrr.txt | 17_topk_tradeoff.txt,0,0.0,2080.87
49,similarity,4,系统的问答 API 路径是什么？,25_fastapi_endpoint.txt,25_fastapi_endpoint.txt | 08_fastapi_streamlit.txt | 26_streamlit_ui.txt | 07_ollama.txt,1,1.0,2100.61
50,similarity,4,FastAPI 的 Swagger 页面在开发中可以用来做什么？,25_fastapi_endpoint.txt,25_fastapi_endpoint.txt | 08_fastapi_streamlit.txt | 26_streamlit_ui.txt | 29_hit_at_k.txt,1,1.0,2197.78
1,similarity,5,RAG 的主要作用是什么？,01_rag_basics.txt,11_rag_hallucination.txt | 12_rag_metadata.txt | 01_rag_basics.txt | rag_test.txt | 24_qwen_role.txt,1,0.3333,2066.04
2,similarity,5,为什么更新 RAG 知识库通常不需要重新训练大语言模型？,01_rag_basics.txt,11_rag_hallucination.txt | 01_rag_basics.txt | rag_test.txt | 12_rag_metadata.txt | 24_qwen_role.txt,1,0.5,2089.44
3,similarity,5,Embedding 在 RAG 系统中主要负责什么？,02_embeddings.txt,01_rag_basics.txt | 11_rag_hallucination.txt | rag_test.txt | 02_embeddings.txt | 13_embedding_dimension.txt,1,0.25,2144.75
4,similarity,5,当前项目使用的本地文本向量模型是什么？,02_embeddings.txt,16_vector_metadata_filter.txt | 23_ollama_privacy.txt | 17_topk_tradeoff.txt | 14_semantic_vs_keyword.txt | 12_rag_metadata.txt,0,0.0,2060.13
5,similarity,5,本项目使用哪个数据库存储文本向量？,03_chromadb.txt,16_vector_metadata_filter.txt | 12_rag_metadata.txt | 17_topk_tradeoff.txt | 04_similarity.txt | 14_semantic_vs_keyword.txt,0,0.0,2087.96
6,similarity,5,ChromaDB 除了向量以外还可以保存哪些信息？,03_chromadb.txt,03_chromadb.txt | 15_chroma_persistence.txt | 24_qwen_role.txt | rag_test.txt | 27_sha256.txt,1,1.0,2089.06
7,similarity,5,Similarity Search 中的 Top-K 表示什么？,04_similarity.txt,04_similarity.txt | 18_similarity_redundancy.txt | 17_topk_tradeoff.txt | 20_mmr_lambda.txt | 10_evaluation.txt,1,1.0,2088.17
8,similarity,5,普通相似度检索可能存在哪种结果冗余问题？,04_similarity.txt,18_similarity_redundancy.txt | 14_semantic_vs_keyword.txt | 26_streamlit_ui.txt | 17_topk_tradeoff.txt | 20_mmr_lambda.txt,0,0.0,2097.37
9,similarity,5,MMR 检索相比普通相似度检索增加了什么考虑？,05_mmr.txt,19_mmr_fetchk.txt | 18_similarity_redundancy.txt | 20_mmr_lambda.txt | 05_mmr.txt | 10_evaluation.txt,1,0.25,2103.04
10,similarity,5,MMR 为什么通常需要先获取 fetch_k 个候选文本？,05_mmr.txt,19_mmr_fetchk.txt | 05_mmr.txt | 20_mmr_lambda.txt | 10_evaluation.txt | 29_hit_at_k.txt,1,0.5,2161.24
11,similarity,5,本项目使用什么工具切分长文档？,06_chunking.txt,16_vector_metadata_filter.txt | 17_topk_tradeoff.txt | 12_rag_metadata.txt | 14_semantic_vs_keyword.txt | 06_chunking.txt,1,0.2,2204.48
12,similarity,5,文本切分时保留 overlap 有什么作用？,06_chunking.txt,21_chunk_overlap.txt | 06_chunking.txt | 22_chunk_size.txt | 14_semantic_vs_keyword.txt | 16_vector_metadata_filter.txt,1,0.5,2093.82
13,similarity,5,本项目使用 Ollama 的主要目的是什么？,07_ollama.txt,07_ollama.txt | 23_ollama_privacy.txt | rag_test.txt | 26_streamlit_ui.txt | 16_vector_metadata_filter.txt,1,1.0,2045.71
14,similarity,5,Ollama 默认的本地服务地址是什么？,07_ollama.txt,07_ollama.txt | 23_ollama_privacy.txt | rag_test.txt | 26_streamlit_ui.txt | 03_chromadb.txt,1,1.0,2065.51
15,similarity,5,系统的后端接口框架和前端框架分别是什么？,08_fastapi_streamlit.txt,26_streamlit_ui.txt | 08_fastapi_streamlit.txt | 17_topk_tradeoff.txt | 14_semantic_vs_keyword.txt | 16_vector_metadata_filter.txt,1,0.5,2087.72
16,similarity,5,改进后的 sources 会返回哪些来源信息？,08_fastapi_streamlit.txt,26_streamlit_ui.txt | 08_fastapi_streamlit.txt | 18_similarity_redundancy.txt | 11_rag_hallucination.txt | 17_topk_tradeoff.txt,1,0.5,2098.11
17,similarity,5,系统如何判断一个文件是否已经入库且没有发生变化？,09_incremental_ingestion.txt,14_semantic_vs_keyword.txt | 11_rag_hallucination.txt | 12_rag_metadata.txt | 16_vector_metadata_filter.txt | 09_incremental_ingestion.txt,1,0.2,2057.53
18,similarity,5,文件内容发生变化后增量入库会执行什么流程？,09_incremental_ingestion.txt,26_streamlit_ui.txt | 14_semantic_vs_keyword.txt | 08_fastapi_streamlit.txt | 16_vector_metadata_filter.txt | 11_rag_hallucination.txt,0,0.0,2066.71
19,similarity,5,Hit@K 主要评价检索系统的什么能力？,10_evaluation.txt,29_hit_at_k.txt | 17_topk_tradeoff.txt | 10_evaluation.txt | 24_qwen_role.txt | 30_mrr.txt,1,0.3333,2050.69
20,similarity,5,MRR 和 Hit@K 的关注重点有什么区别？,10_evaluation.txt,30_mrr.txt | 10_evaluation.txt | 29_hit_at_k.txt | 17_topk_tradeoff.txt | 24_qwen_role.txt,1,0.5,2055.08
21,similarity,5,RAG 为什么能够降低大语言模型产生幻觉的风险？,11_rag_hallucination.txt,11_rag_hallucination.txt | 01_rag_basics.txt | 12_rag_metadata.txt | rag_test.txt | 24_qwen_role.txt,1,1.0,2091.02
22,similarity,5,如果检索阶段返回了错误文档，生成结果可能出现什么问题？,11_rag_hallucination.txt,14_semantic_vs_keyword.txt | 11_rag_hallucination.txt | 17_topk_tradeoff.txt | 16_vector_metadata_filter.txt | 12_rag_metadata.txt,1,0.5,2098.42
23,similarity,5,向量数据库中的 metadata 可以用于哪些功能？,12_rag_metadata.txt,16_vector_metadata_filter.txt | 12_rag_metadata.txt | 03_chromadb.txt | 01_rag_basics.txt | 28_manifest.txt,1,0.5,2115.84
24,similarity,5,PDF 文档的页码信息通常存放在哪里？,12_rag_metadata.txt,12_rag_metadata.txt | 26_streamlit_ui.txt | 11_rag_hallucination.txt | 08_fastapi_streamlit.txt | 16_vector_metadata_filter.txt,1,1.0,2051.69
25,similarity,5,当前 nomic-embed-text 输出的向量维度是多少？,13_embedding_dimension.txt,13_embedding_dimension.txt | 23_ollama_privacy.txt | 02_embeddings.txt | 07_ollama.txt | 14_semantic_vs_keyword.txt,1,1.0,2074.76
26,similarity,5,为什么更换 Embedding 模型后通常需要重新构建向量库？,13_embedding_dimension.txt,13_embedding_dimension.txt | 02_embeddings.txt | 07_ollama.txt | 14_semantic_vs_keyword.txt | 23_ollama_privacy.txt,1,1.0,2097.42
27,similarity,5,语义检索相比关键词检索有什么优势？,14_semantic_vs_keyword.txt,18_similarity_redundancy.txt | 14_semantic_vs_keyword.txt | 16_vector_metadata_filter.txt | 26_streamlit_ui.txt | 17_topk_tradeoff.txt,1,0.5,2096.97
28,similarity,5,表达方式不同但意思相近的问题为什么仍可能被检索出来？,14_semantic_vs_keyword.txt,17_topk_tradeoff.txt | 14_semantic_vs_keyword.txt | 09_incremental_ingestion.txt | 13_embedding_dimension.txt | 22_chunk_size.txt,1,0.5,2137.96
29,similarity,5,ChromaDB 持久化存储有什么作用？,15_chroma_persistence.txt,03_chromadb.txt | 15_chroma_persistence.txt | 24_qwen_role.txt | rag_test.txt | 27_sha256.txt,1,0.5,2098.41
30,similarity,5,为什么 chroma_db 目录不适合提交到 GitHub？,15_chroma_persistence.txt,15_chroma_persistence.txt | 03_chromadb.txt | 28_manifest.txt | 09_incremental_ingestion.txt | 27_sha256.txt,1,1.0,2101.65
31,similarity,5,向量数据库的 metadata filter 可以实现什么功能？,16_vector_metadata_filter.txt,16_vector_metadata_filter.txt | 12_rag_metadata.txt | 03_chromadb.txt | 18_similarity_redundancy.txt | 20_mmr_lambda.txt,1,1.0,2189.6
32,similarity,5,增量更新时系统如何定位需要删除的旧版本向量？,16_vector_metadata_filter.txt,16_vector_metadata_filter.txt | 09_incremental_ingestion.txt | 12_rag_metadata.txt | 17_topk_tradeoff.txt | 23_ollama_privacy.txt,1,1.0,2075.73
33,similarity,5,Top-K 设置得过小可能导致什么问题？,17_topk_tradeoff.txt,17_topk_tradeoff.txt | 04_similarity.txt | 19_mmr_fetchk.txt | 29_hit_at_k.txt | 10_evaluation.txt,1,1.0,2055.42
