id,retrieval_type,top_k,question,gold_sources,retrieved_sources,matched_source,first_relevant_rank,hit,reciprocal_rank,latency_ms
44,similarity,3,为什么比较检索算法时应该保持 chunk_size 不变？,22_chunk_size.txt | 06_chunking.txt,22_chunk_size.txt | 06_chunking.txt | 21_chunk_overlap.txt,22_chunk_size.txt,1,1,1.0,2150.46
45,similarity,3,使用本地 Ollama 对知识库数据隐私有什么好处？,23_ollama_privacy.txt | 07_ollama.txt,07_ollama.txt | 23_ollama_privacy.txt | 26_streamlit_ui.txt,07_ollama.txt,1,1,1.0,2167.55
46,similarity,3,当前项目中哪些模型通过 Ollama 在本地运行？,23_ollama_privacy.txt | 07_ollama.txt,07_ollama.txt | 23_ollama_privacy.txt | 26_streamlit_ui.txt,07_ollama.txt,1,1,1.0,2147.76
47,similarity,3,Qwen2.5 3B 在这个 RAG 系统中承担什么职责？,24_qwen_role.txt | 07_ollama.txt,24_qwen_role.txt | rag_test.txt | 11_rag_hallucination.txt,24_qwen_role.txt,1,1,1.0,2156.59
48,similarity,3,Hit@K 和 MRR 主要评测生成模型还是检索器？,24_qwen_role.txt | 10_evaluation.txt,29_hit_at_k.txt | 10_evaluation.txt | 30_mrr.txt,10_evaluation.txt,2,1,0.5,2085.58
49,similarity,3,系统的问答 API 路径是什么？,25_fastapi_endpoint.txt | 08_fastapi_streamlit.txt,25_fastapi_endpoint.txt | 08_fastapi_streamlit.txt | 26_streamlit_ui.txt,25_fastapi_endpoint.txt,1,1,1.0,2157.13
50,similarity,3,FastAPI 的 Swagger 页面在开发中可以用来做什么？,25_fastapi_endpoint.txt,25_fastapi_endpoint.txt | 08_fastapi_streamlit.txt | 26_streamlit_ui.txt,25_fastapi_endpoint.txt,1,1,1.0,2133.33
1,similarity,4,RAG 的主要作用是什么？,01_rag_basics.txt,11_rag_hallucination.txt | 12_rag_metadata.txt | 01_rag_basics.txt | rag_test.txt,01_rag_basics.txt,3,1,0.3333,2134.21
2,similarity,4,为什么更新 RAG 知识库通常不需要重新训练大语言模型？,01_rag_basics.txt,11_rag_hallucination.txt | 01_rag_basics.txt | rag_test.txt | 12_rag_metadata.txt,01_rag_basics.txt,2,1,0.5,2180.05
3,similarity,4,Embedding 在 RAG 系统中主要负责什么？,02_embeddings.txt,01_rag_basics.txt | 11_rag_hallucination.txt | rag_test.txt | 02_embeddings.txt,02_embeddings.txt,4,1,0.25,2158.06
4,similarity,4,当前项目使用的本地文本向量模型是什么？,02_embeddings.txt | 07_ollama.txt | 13_embedding_dimension.txt | 23_ollama_privacy.txt | rag_test.txt,16_vector_metadata_filter.txt | 23_ollama_privacy.txt | 17_topk_tradeoff.txt | 14_semantic_vs_keyword.txt,23_ollama_privacy.txt,2,1,0.5,2133.02
5,similarity,4,本项目使用哪个数据库存储文本向量？,03_chromadb.txt | 15_chroma_persistence.txt | rag_test.txt,16_vector_metadata_filter.txt | 12_rag_metadata.txt | 17_topk_tradeoff.txt | 04_similarity.txt,,,0,0.0,2128.1
6,similarity,4,ChromaDB 除了向量以外还可以保存哪些信息？,03_chromadb.txt | 12_rag_metadata.txt,03_chromadb.txt | 15_chroma_persistence.txt | 24_qwen_role.txt | rag_test.txt,03_chromadb.txt,1,1,1.0,2170.22
7,similarity,4,Similarity Search 中的 Top-K 表示什么？,04_similarity.txt | 17_topk_tradeoff.txt,04_similarity.txt | 18_similarity_redundancy.txt | 17_topk_tradeoff.txt | 20_mmr_lambda.txt,04_similarity.txt,1,1,1.0,2158.33
8,similarity,4,普通相似度检索可能存在哪种结果冗余问题？,04_similarity.txt | 18_similarity_redundancy.txt | 21_chunk_overlap.txt,18_similarity_redundancy.txt | 14_semantic_vs_keyword.txt | 26_streamlit_ui.txt | 17_topk_tradeoff.txt,18_similarity_redundancy.txt,1,1,1.0,2152.64
9,similarity,4,MMR 检索相比普通相似度检索增加了什么考虑？,05_mmr.txt | 18_similarity_redundancy.txt,19_mmr_fetchk.txt | 18_similarity_redundancy.txt | 20_mmr_lambda.txt | 05_mmr.txt,18_similarity_redundancy.txt,2,1,0.5,2125.25
10,similarity,4,MMR 为什么通常需要先获取 fetch_k 个候选文本？,05_mmr.txt | 19_mmr_fetchk.txt,19_mmr_fetchk.txt | 05_mmr.txt | 20_mmr_lambda.txt | 10_evaluation.txt,19_mmr_fetchk.txt,1,1,1.0,2161.89
11,similarity,4,本项目使用什么工具切分长文档？,06_chunking.txt,16_vector_metadata_filter.txt | 17_topk_tradeoff.txt | 12_rag_metadata.txt | 14_semantic_vs_keyword.txt,,,0,0.0,2138.7
12,similarity,4,文本切分时保留 overlap 有什么作用？,06_chunking.txt | 21_chunk_overlap.txt,21_chunk_overlap.txt | 06_chunking.txt | 22_chunk_size.txt | 14_semantic_vs_keyword.txt,21_chunk_overlap.txt,1,1,1.0,2148.47
13,similarity,4,本项目使用 Ollama 的主要目的是什么？,07_ollama.txt | 23_ollama_privacy.txt,07_ollama.txt | 23_ollama_privacy.txt | rag_test.txt | 26_streamlit_ui.txt,07_ollama.txt,1,1,1.0,2124.59
14,similarity,4,Ollama 默认的本地服务地址是什么？,07_ollama.txt,07_ollama.txt | 23_ollama_privacy.txt | rag_test.txt | 26_streamlit_ui.txt,07_ollama.txt,1,1,1.0,2132.91
15,similarity,4,系统的后端接口框架和前端框架分别是什么？,08_fastapi_streamlit.txt,26_streamlit_ui.txt | 08_fastapi_streamlit.txt | 17_topk_tradeoff.txt | 14_semantic_vs_keyword.txt,08_fastapi_streamlit.txt,2,1,0.5,2152.86
16,similarity,4,改进后的 sources 会返回哪些来源信息？,08_fastapi_streamlit.txt | 26_streamlit_ui.txt,26_streamlit_ui.txt | 08_fastapi_streamlit.txt | 18_similarity_redundancy.txt | 11_rag_hallucination.txt,26_streamlit_ui.txt,1,1,1.0,2129.0
17,similarity,4,系统如何判断一个文件是否已经入库且没有发生变化？,09_incremental_ingestion.txt | 27_sha256.txt | 28_manifest.txt,14_semantic_vs_keyword.txt | 11_rag_hallucination.txt | 12_rag_metadata.txt | 16_vector_metadata_filter.txt,,,0,0.0,2161.4
18,similarity,4,文件内容发生变化后增量入库会执行什么流程？,09_incremental_ingestion.txt | 28_manifest.txt,26_streamlit_ui.txt | 14_semantic_vs_keyword.txt | 08_fastapi_streamlit.txt | 16_vector_metadata_filter.txt,,,0,0.0,2211.14
19,similarity,4,Hit@K 主要评价检索系统的什么能力？,10_evaluation.txt | 29_hit_at_k.txt,29_hit_at_k.txt | 17_topk_tradeoff.txt | 10_evaluation.txt | 24_qwen_role.txt,29_hit_at_k.txt,1,1,1.0,2065.41
20,similarity,4,MRR 和 Hit@K 的关注重点有什么区别？,10_evaluation.txt,30_mrr.txt | 10_evaluation.txt | 29_hit_at_k.txt | 17_topk_tradeoff.txt,10_evaluation.txt,2,1,0.5,2096.54
21,similarity,4,RAG 为什么能够降低大语言模型产生幻觉的风险？,11_rag_hallucination.txt,11_rag_hallucination.txt | 01_rag_basics.txt | 12_rag_metadata.txt | rag_test.txt,11_rag_hallucination.txt,1,1,1.0,2152.74
22,similarity,4,如果检索阶段返回了错误文档，生成结果可能出现什么问题？,11_rag_hallucination.txt,14_semantic_vs_keyword.txt | 11_rag_hallucination.txt | 17_topk_tradeoff.txt | 16_vector_metadata_filter.txt,11_rag_hallucination.txt,2,1,0.5,2139.39
23,similarity,4,向量数据库中的 metadata 可以用于哪些功能？,12_rag_metadata.txt | 03_chromadb.txt | 16_vector_metadata_filter.txt,16_vector_metadata_filter.txt | 12_rag_metadata.txt | 03_chromadb.txt | 01_rag_basics.txt,16_vector_metadata_filter.txt,1,1,1.0,2163.11
24,similarity,4,PDF 文档的页码信息通常存放在哪里？,12_rag_metadata.txt | 08_fastapi_streamlit.txt,12_rag_metadata.txt | 26_streamlit_ui.txt | 11_rag_hallucination.txt | 08_fastapi_streamlit.txt,12_rag_metadata.txt,1,1,1.0,2143.87
25,similarity,4,当前 nomic-embed-text 输出的向量维度是多少？,13_embedding_dimension.txt | 02_embeddings.txt,13_embedding_dimension.txt | 23_ollama_privacy.txt | 02_embeddings.txt | 07_ollama.txt,13_embedding_dimension.txt,1,1,1.0,2179.42
26,similarity,4,为什么更换 Embedding 模型后通常需要重新构建向量库？,13_embedding_dimension.txt,13_embedding_dimension.txt | 02_embeddings.txt | 07_ollama.txt | 14_semantic_vs_keyword.txt,13_embedding_dimension.txt,1,1,1.0,2079.39
27,similarity,4,语义检索相比关键词检索有什么优势？,14_semantic_vs_keyword.txt | 02_embeddings.txt,18_similarity_redundancy.txt | 14_semantic_vs_keyword.txt | 16_vector_metadata_filter.txt | 26_streamlit_ui.txt,14_semantic_vs_keyword.txt,2,1,0.5,2084.31
28,similarity,4,表达方式不同但意思相近的问题为什么仍可能被检索出来？,14_semantic_vs_keyword.txt | 02_embeddings.txt,17_topk_tradeoff.txt | 14_semantic_vs_keyword.txt | 09_incremental_ingestion.txt | 13_embedding_dimension.txt,14_semantic_vs_keyword.txt,2,1,0.5,2204.4
29,similarity,4,ChromaDB 持久化存储有什么作用？,15_chroma_persistence.txt | 03_chromadb.txt,03_chromadb.txt | 15_chroma_persistence.txt | 24_qwen_role.txt | rag_test.txt,03_chromadb.txt,1,1,1.0,2057.31
30,similarity,4,为什么 chroma_db 目录不适合提交到 GitHub？,15_chroma_persistence.txt,15_chroma_persistence.txt | 03_chromadb.txt | 28_manifest.txt | 09_incremental_ingestion.txt,15_chroma_persistence.txt,1,1,1.0,2089.44
31,similarity,4,向量数据库的 metadata filter 可以实现什么功能？,16_vector_metadata_filter.txt | 12_rag_metadata.txt,16_vector_metadata_filter.txt | 12_rag_metadata.txt | 03_chromadb.txt | 18_similarity_redundancy.txt,16_vector_metadata_filter.txt,1,1,1.0,2058.45
32,similarity,4,增量更新时系统如何定位需要删除的旧版本向量？,16_vector_metadata_filter.txt | 09_incremental_ingestion.txt,16_vector_metadata_filter.txt | 09_incremental_ingestion.txt | 12_rag_metadata.txt | 17_topk_tradeoff.txt,16_vector_metadata_filter.txt,1,1,1.0,2068.98
33,similarity,4,Top-K 设置得过小可能导致什么问题？,17_topk_tradeoff.txt | 04_similarity.txt,17_topk_tradeoff.txt | 04_similarity.txt | 19_mmr_fetchk.txt | 29_hit_at_k.txt,17_topk_tradeoff.txt,1,1,1.0,2086.12
34,similarity,4,为什么不存在对所有数据集都最优的固定 Top-K？,17_topk_tradeoff.txt,17_topk_tradeoff.txt | 04_similarity.txt | 19_mmr_fetchk.txt | 29_hit_at_k.txt,17_topk_tradeoff.txt,1,1,1.0,2132.05
35,similarity,4,Similarity Search 为什么可能返回多个内容高度重复的 chunk？,18_similarity_redundancy.txt | 04_similarity.txt | 21_chunk_overlap.txt,18_similarity_redundancy.txt | 04_similarity.txt | 21_chunk_overlap.txt | 20_mmr_lambda.txt,18_similarity_redundancy.txt,1,1,1.0,2193.04
36,similarity,4,MMR 能缓解普通相似度检索中的什么问题？,18_similarity_redundancy.txt | 05_mmr.txt,19_mmr_fetchk.txt | 20_mmr_lambda.txt | 05_mmr.txt | 18_similarity_redundancy.txt,05_mmr.txt,3,1,0.3333,2076.81
37,similarity,4,MMR 中 fetch_k 和最终 k 的关系通常是什么？,19_mmr_fetchk.txt | 05_mmr.txt,19_mmr_fetchk.txt | 05_mmr.txt | 29_hit_at_k.txt | 10_evaluation.txt,19_mmr_fetchk.txt,1,1,1.0,2090.85
38,similarity,4,本项目的默认 mmr_fetch_k 设置为多少？,19_mmr_fetchk.txt | 05_mmr.txt,19_mmr_fetchk.txt | 05_mmr.txt | 20_mmr_lambda.txt | 17_topk_tradeoff.txt,19_mmr_fetchk.txt,1,1,1.0,2174.61
39,similarity,4,MMR 中 lambda_mult 用来控制什么？,20_mmr_lambda.txt | 05_mmr.txt,20_mmr_lambda.txt | 05_mmr.txt | 19_mmr_fetchk.txt | 18_similarity_redundancy.txt,20_mmr_lambda.txt,1,1,1.0,2122.02
40,similarity,4,本项目默认的 lambda_mult 是多少？,20_mmr_lambda.txt | 05_mmr.txt,20_mmr_lambda.txt | 05_mmr.txt | 16_vector_metadata_filter.txt | 17_topk_tradeoff.txt,20_mmr_lambda.txt,1,1,1.0,2143.41
41,similarity,4,本项目的 chunk_overlap 设置为多少？,21_chunk_overlap.txt | 06_chunking.txt,21_chunk_overlap.txt | 22_chunk_size.txt | 06_chunking.txt | 16_vector_metadata_filter.txt,21_chunk_overlap.txt,1,1,1.0,2161.45
42,similarity,4,chunk_overlap 设置过大会带来什么问题？,21_chunk_overlap.txt | 06_chunking.txt,21_chunk_overlap.txt | 22_chunk_size.txt | 06_chunking.txt | 18_similarity_redundancy.txt,21_chunk_overlap.txt,1,1,1.0,2201.33
43,similarity,4,本项目默认的 chunk_size 是多少？,22_chunk_size.txt | 06_chunking.txt,22_chunk_size.txt | 21_chunk_overlap.txt | 06_chunking.txt | 16_vector_metadata_filter.txt,22_chunk_size.txt,1,1,1.0,2073.96
44,similarity,4,为什么比较检索算法时应该保持 chunk_size 不变？,22_chunk_size.txt | 06_chunking.txt,22_chunk_size.txt | 06_chunking.txt | 21_chunk_overlap.txt | 16_vector_metadata_filter.txt,22_chunk_size.txt,1,1,1.0,2087.81
45,similarity,4,使用本地 Ollama 对知识库数据隐私有什么好处？,23_ollama_privacy.txt | 07_ollama.txt,07_ollama.txt | 23_ollama_privacy.txt | 26_streamlit_ui.txt | rag_test.txt,07_ollama.txt,1,1,1.0,2162.04
46,similarity,4,当前项目中哪些模型通过 Ollama 在本地运行？,23_ollama_privacy.txt | 07_ollama.txt,07_ollama.txt | 23_ollama_privacy.txt | 26_streamlit_ui.txt | 09_incremental_ingestion.txt,07_ollama.txt,1,1,1.0,2148.15
47,similarity,4,Qwen2.5 3B 在这个 RAG 系统中承担什么职责？,24_qwen_role.txt | 07_ollama.txt,24_qwen_role.txt | rag_test.txt | 11_rag_hallucination.txt | 01_rag_basics.txt,24_qwen_role.txt,1,1,1.0,2154.17
48,similarity,4,Hit@K 和 MRR 主要评测生成模型还是检索器？,24_qwen_role.txt | 10_evaluation.txt,29_hit_at_k.txt | 10_evaluation.txt | 30_mrr.txt | 17_topk_tradeoff.txt,10_evaluation.txt,2,1,0.5,2142.0
49,similarity,4,系统的问答 API 路径是什么？,25_fastapi_endpoint.txt | 08_fastapi_streamlit.txt,25_fastapi_endpoint.txt | 08_fastapi_streamlit.txt | 26_streamlit_ui.txt | 07_ollama.txt,25_fastapi_endpoint.txt,1,1,1.0,2060.07
50,similarity,4,FastAPI 的 Swagger 页面在开发中可以用来做什么？,25_fastapi_endpoint.txt,25_fastapi_endpoint.txt | 08_fastapi_streamlit.txt | 26_streamlit_ui.txt | 29_hit_at_k.txt,25_fastapi_endpoint.txt,1,1,1.0,2083.62
1,similarity,5,RAG 的主要作用是什么？,01_rag_basics.txt,11_rag_hallucination.txt | 12_rag_metadata.txt | 01_rag_basics.txt | rag_test.txt | 24_qwen_role.txt,01_rag_basics.txt,3,1,0.3333,2086.76
2,similarity,5,为什么更新 RAG 知识库通常不需要重新训练大语言模型？,01_rag_basics.txt,11_rag_hallucination.txt | 01_rag_basics.txt | rag_test.txt | 12_rag_metadata.txt | 24_qwen_role.txt,01_rag_basics.txt,2,1,0.5,2099.07
3,similarity,5,Embedding 在 RAG 系统中主要负责什么？,02_embeddings.txt,01_rag_basics.txt | 11_rag_hallucination.txt | rag_test.txt | 02_embeddings.txt | 13_embedding_dimension.txt,02_embeddings.txt,4,1,0.25,2129.45
4,similarity,5,当前项目使用的本地文本向量模型是什么？,02_embeddings.txt | 07_ollama.txt | 13_embedding_dimension.txt | 23_ollama_privacy.txt | rag_test.txt,16_vector_metadata_filter.txt | 23_ollama_privacy.txt | 17_topk_tradeoff.txt | 14_semantic_vs_keyword.txt | 12_rag_metadata.txt,23_ollama_privacy.txt,2,1,0.5,2187.52
5,similarity,5,本项目使用哪个数据库存储文本向量？,03_chromadb.txt | 15_chroma_persistence.txt | rag_test.txt,16_vector_metadata_filter.txt | 12_rag_metadata.txt | 17_topk_tradeoff.txt | 04_similarity.txt | 14_semantic_vs_keyword.txt,,,0,0.0,2088.19
6,similarity,5,ChromaDB 除了向量以外还可以保存哪些信息？,03_chromadb.txt | 12_rag_metadata.txt,03_chromadb.txt | 15_chroma_persistence.txt | 24_qwen_role.txt | rag_test.txt | 27_sha256.txt,03_chromadb.txt,1,1,1.0,2127.26
7,similarity,5,Similarity Search 中的 Top-K 表示什么？,04_similarity.txt | 17_topk_tradeoff.txt,04_similarity.txt | 18_similarity_redundancy.txt | 17_topk_tradeoff.txt | 20_mmr_lambda.txt | 10_evaluation.txt,04_similarity.txt,1,1,1.0,2167.42
8,similarity,5,普通相似度检索可能存在哪种结果冗余问题？,04_similarity.txt | 18_similarity_redundancy.txt | 21_chunk_overlap.txt,18_similarity_redundancy.txt | 14_semantic_vs_keyword.txt | 26_streamlit_ui.txt | 17_topk_tradeoff.txt | 20_mmr_lambda.txt,18_similarity_redundancy.txt,1,1,1.0,2136.08
9,similarity,5,MMR 检索相比普通相似度检索增加了什么考虑？,05_mmr.txt | 18_similarity_redundancy.txt,19_mmr_fetchk.txt | 18_similarity_redundancy.txt | 20_mmr_lambda.txt | 05_mmr.txt | 10_evaluation.txt,18_similarity_redundancy.txt,2,1,0.5,2146.6
10,similarity,5,MMR 为什么通常需要先获取 fetch_k 个候选文本？,05_mmr.txt | 19_mmr_fetchk.txt,19_mmr_fetchk.txt | 05_mmr.txt | 20_mmr_lambda.txt | 10_evaluation.txt | 29_hit_at_k.txt,19_mmr_fetchk.txt,1,1,1.0,2090.74
